Год;Компания;ЦФО;MCC;Инициатор закупки;Предмет закупки;Бюждетзакупки/суммадоговора(UZS);Тип затрат;Тип договора;Срок действия договора (мес.)
2026;Узум Маркет;M - Warehouse ;M - Warehouse ;С Михеев;Ричтрак;612627212;Capex;разовый; - 
2026;Узум Маркет;M - Warehouse ;M - Warehouse ;И Кононенко;Приобретение тележек;470000000;Opex;годовой;12
2026;Узум Маркет;M - Warehouse ;M - Warehouse ;И Кононенко;Страхование;453096000;Opex;годовой;12
2026;Узум Маркет;M - Warehouse ;M - Warehouse ;А Шитикова;Ленты;216000000;Opex;разовый; - 
2026;Узум Маркет;M - Warehouse ;M - Warehouse ;С Михеев;Паллеты;140000000;Capex;разовый; - 
2026;Узум Маркет;M - Warehouse ;M - Warehouse ;И Кононенко;Топливо (ГСМ) погрузчики;128074000;Opex;годовой;12
2026;Узум Маркет;M - Warehouse ;M - Warehouse ;С Михеев;Телега отбора;110000000;Capex;разовый; - 
2026;Узум Маркет;M - Warehouse ;M - Warehouse ;С Михеев;Стол металлический(верстак);72363221;Capex;разовый; - 
2026;Узум Маркет;M - Warehouse ;M - Warehouse ;С Михеев;"Ячейки (лотки/флипы) мезонина		";69561245,59;Capex;разовый; - 
2026;Узум Маркет;M - Warehouse ;M - Warehouse ;С Михеев;Стеллажи отгрузки;54393984;Capex;разовый; - 
2026;Узум Маркет;M - Warehouse ;M - Warehouse ;С Михеев;Закупка термотрансферных этикеток;4000000;Capex;разовый; - 
